# gbpCode colour map
#    type      = linear
#    hue       = 030 degrees
#    radius    = -01 degrees
#    chroma    = 050
#    luminance = 000 to 074
178 0.7844 0.3283 0.4205
179 0.7879 0.3299 0.4352
180 0.7909 0.3319 0.4500
181 0.7935 0.3342 0.4649
182 0.7957 0.3368 0.4799
183 0.7974 0.3398 0.4949
184 0.7987 0.3431 0.5100
185 0.7995 0.3468 0.5250
186 0.7998 0.3508 0.5401
187 0.7997 0.3551 0.5552
188 0.7991 0.3598 0.5703
189 0.7981 0.3647 0.5854
190 0.7966 0.3699 0.6004
191 0.7946 0.3754 0.6153
192 0.7921 0.3812 0.6302
193 0.7892 0.3872 0.6450
194 0.7858 0.3935 0.6596
195 0.7819 0.4000 0.6742
196 0.7775 0.4066 0.6885
197 0.7726 0.4135 0.7028
198 0.7673 0.4205 0.7168
199 0.7615 0.4277 0.7307
200 0.7552 0.4350 0.7444
201 0.7484 0.4425 0.7578
202 0.7411 0.4500 0.7710
203 0.7334 0.4577 0.7839
204 0.7252 0.4654 0.7966
205 0.7165 0.4732 0.8090
206 0.7073 0.4811 0.8210
207 0.6977 0.4890 0.8328
208 0.6876 0.4970 0.8442
209 0.6771 0.5049 0.8553
210 0.6661 0.5129 0.8660
211 0.6546 0.5209 0.8764
212 0.6427 0.5289 0.8864
213 0.6303 0.5369 0.8960
214 0.6174 0.5449 0.9052
215 0.6041 0.5528 0.9140
216 0.5904 0.5607 0.9223
217 0.5762 0.5686 0.9302
218 0.5615 0.5764 0.9377
219 0.5463 0.5841 0.9447
220 0.5307 0.5918 0.9513
221 0.5146 0.5995 0.9574
222 0.4980 0.6070 0.9631
223 0.4809 0.6145 0.9682
224 0.4632 0.6219 0.9729
225 0.4450 0.6293 0.9772
226 0.4262 0.6366 0.9809
227 0.4067 0.6437 0.9841
228 0.3866 0.6508 0.9869
229 0.3656 0.6578 0.9891
230 0.3438 0.6647 0.9909
231 0.3210 0.6715 0.9922
232 0.2969 0.6782 0.9930
233 0.2714 0.6849 0.9934
234 0.2440 0.6914 0.9932
235 0.2140 0.6978 0.9926
236 0.1803 0.7041 0.9915
237 0.1404 0.7104 0.9899
238 0.0877 0.7165 0.9879
239 0.0000 0.7225 0.9854
240 0.0000 0.7284 0.9825
241 0.0000 0.7343 0.9791
242 0.0000 0.7400 0.9753
243 0.0000 0.7456 0.9711
244 0.0000 0.7511 0.9665
245 0.0000 0.7566 0.9614
246 0.0000 0.7619 0.9560
247 0.0000 0.7671 0.9502
248 0.0000 0.7722 0.9441
249 0.0000 0.7772 0.9375
250 0.0000 0.7822 0.9307
251 0.0000 0.7870 0.9235
252 0.0000 0.7917 0.9160
253 0.0000 0.7963 0.9082
254 0.0000 0.8009 0.9001
255 0.0000 0.8053 0.8918
