# gbpCode colour map
#    type      = linear
#    hue       = 330 degrees
#    radius    = -01 degrees
#    chroma    = 050
#    luminance = 000 to 084
  0 0.1787 0.0000 0.1595
  1 0.1747 0.0000 0.1699
  2 0.1701 0.0000 0.1802
  3 0.1650 0.0000 0.1905
  4 0.1593 0.0000 0.2008
  5 0.1529 0.0000 0.2109
  6 0.1459 0.0000 0.2209
  7 0.1380 0.0000 0.2308
  8 0.1292 0.0000 0.2405
  9 0.1194 0.0000 0.2500
 10 0.1083 0.0000 0.2593
 11 0.0956 0.0000 0.2684
 12 0.0808 0.0000 0.2773
 13 0.0628 0.0000 0.2859
 14 0.0392 0.0036 0.2942
 15 0.0110 0.0146 0.3023
 16 0.0000 0.0258 0.3101
 17 0.0000 0.0370 0.3175
 18 0.0000 0.0478 0.3247
 19 0.0000 0.0573 0.3315
 20 0.0000 0.0658 0.3380
 21 0.0000 0.0736 0.3441
 22 0.0000 0.0807 0.3499
 23 0.0000 0.0874 0.3554
 24 0.0000 0.0937 0.3604
 25 0.0000 0.0996 0.3651
 26 0.0000 0.1053 0.3694
 27 0.0000 0.1109 0.3733
 28 0.0000 0.1163 0.3768
 29 0.0000 0.1215 0.3800
 30 0.0000 0.1266 0.3827
 31 0.0000 0.1316 0.3850
 32 0.0000 0.1365 0.3870
 33 0.0000 0.1412 0.3885
 34 0.0000 0.1459 0.3896
 35 0.0000 0.1504 0.3904
 36 0.0000 0.1549 0.3907
 37 0.0000 0.1593 0.3907
 38 0.0000 0.1636 0.3902
 39 0.0000 0.1678 0.3894
 40 0.0000 0.1719 0.3882
 41 0.0000 0.1760 0.3867
 42 0.0000 0.1801 0.3847
 43 0.0000 0.1840 0.3825
 44 0.0000 0.1879 0.3798
 45 0.0000 0.1918 0.3768
 46 0.0000 0.1956 0.3735
 47 0.0000 0.1994 0.3699
 48 0.0000 0.2031 0.3659
 49 0.0000 0.2068 0.3617
 50 0.0000 0.2105 0.3571
 51 0.0000 0.2141 0.3523
 52 0.0000 0.2177 0.3471
 53 0.0000 0.2212 0.3418
 54 0.0000 0.2247 0.3361
 55 0.0000 0.2282 0.3303
 56 0.0000 0.2317 0.3242
 57 0.0000 0.2351 0.3178
 58 0.0000 0.2385 0.3113
 59 0.0000 0.2419 0.3046
 60 0.0000 0.2453 0.2977
 61 0.0000 0.2486 0.2906
 62 0.0000 0.2519 0.2834
 63 0.0000 0.2552 0.2760
 64 0.0000 0.2584 0.2685
 65 0.0000 0.2616 0.2608
 66 0.0000 0.2648 0.2531
 67 0.0000 0.2680 0.2452
 68 0.0000 0.2711 0.2373
 69 0.0000 0.2742 0.2292
 70 0.0000 0.2773 0.2211
 71 0.0000 0.2803 0.2129
 72 0.0000 0.2833 0.2046
 73 0.0000 0.2863 0.1963
 74 0.0000 0.2892 0.1879
 75 0.0000 0.2920 0.1794
 76 0.0000 0.2949 0.1709
 77 0.0000 0.2977 0.1623
 78 0.0000 0.3004 0.1537
 79 0.0000 0.3031 0.1449
 80 0.0000 0.3057 0.1362
 81 0.0000 0.3082 0.1273
 82 0.0000 0.3108 0.1183
 83 0.0000 0.3132 0.1091
 84 0.0000 0.3156 0.0998
 85 0.0000 0.3179 0.0902
 86 0.0000 0.3201 0.0804
 87 0.0000 0.3223 0.0701
 88 0.0000 0.3243 0.0593
 89 0.0000 0.3263 0.0478
 90 0.0000 0.3283 0.0352
 91 0.0000 0.3301 0.0230
 92 0.0000 0.3318 0.0117
 93 0.0429 0.3335 0.0012
 94 0.0790 0.3350 0.0000
 95 0.1064 0.3365 0.0000
 96 0.1297 0.3378 0.0000
 97 0.1507 0.3390 0.0000
 98 0.1700 0.3402 0.0000
 99 0.1882 0.3412 0.0000
100 0.2055 0.3421 0.0000
101 0.2222 0.3429 0.0000
102 0.2383 0.3436 0.0000
103 0.2541 0.3441 0.0000
104 0.2695 0.3446 0.0000
105 0.2846 0.3449 0.0000
106 0.2994 0.3451 0.0000
107 0.3140 0.3452 0.0000
108 0.3285 0.3451 0.0000
109 0.3427 0.3449 0.0000
110 0.3568 0.3446 0.0000
111 0.3708 0.3442 0.0000
112 0.3846 0.3437 0.0000
113 0.3982 0.3430 0.0000
114 0.4117 0.3422 0.0000
115 0.4251 0.3413 0.0000
116 0.4384 0.3403 0.0000
117 0.4515 0.3392 0.0000
118 0.4645 0.3380 0.0000
119 0.4773 0.3366 0.0000
120 0.4900 0.3352 0.0000
121 0.5025 0.3337 0.0025
122 0.5149 0.3321 0.0164
123 0.5270 0.3304 0.0320
124 0.5391 0.3287 0.0487
125 0.5509 0.3269 0.0640
126 0.5625 0.3250 0.0783
127 0.5740 0.3231 0.0919
128 0.5852 0.3212 0.1051
129 0.5962 0.3193 0.1180
130 0.6070 0.3173 0.1308
131 0.6175 0.3154 0.1435
132 0.6278 0.3135 0.1562
133 0.6378 0.3117 0.1690
134 0.6476 0.3099 0.1818
135 0.6571 0.3082 0.1946
136 0.6663 0.3066 0.2076
137 0.6752 0.3051 0.2207
138 0.6838 0.3037 0.2339
139 0.6921 0.3025 0.2473
140 0.7000 0.3015 0.2608
141 0.7077 0.3007 0.2745
142 0.7150 0.3001 0.2883
143 0.7219 0.2997 0.3023
144 0.7285 0.2996 0.3164
145 0.7346 0.2998 0.3307
146 0.7405 0.3002 0.3451
147 0.7459 0.3010 0.3596
148 0.7509 0.3021 0.3743
149 0.7556 0.3035 0.3890
150 0.7598 0.3053 0.4039
151 0.7636 0.3074 0.4189
152 0.7670 0.3099 0.4340
153 0.7699 0.3127 0.4492
154 0.7724 0.3159 0.4645
155 0.7745 0.3194 0.4798
156 0.7761 0.3233 0.4951
157 0.7773 0.3275 0.5105
158 0.7780 0.3321 0.5259
159 0.7782 0.3370 0.5413
160 0.7780 0.3422 0.5567
161 0.7773 0.3477 0.5720
162 0.7761 0.3534 0.5873
163 0.7745 0.3595 0.6026
164 0.7724 0.3658 0.6177
165 0.7698 0.3724 0.6328
166 0.7667 0.3792 0.6478
167 0.7631 0.3862 0.6626
168 0.7591 0.3934 0.6773
169 0.7545 0.4007 0.6918
170 0.7495 0.4082 0.7062
171 0.7440 0.4159 0.7204
172 0.7381 0.4237 0.7343
173 0.7316 0.4316 0.7481
174 0.7247 0.4397 0.7615
175 0.7173 0.4478 0.7748
176 0.7094 0.4560 0.7878
177 0.7010 0.4642 0.8004
178 0.6922 0.4725 0.8128
179 0.6828 0.4809 0.8249
180 0.6731 0.4892 0.8366
181 0.6628 0.4976 0.8480
182 0.6521 0.5060 0.8590
183 0.6409 0.5144 0.8697
184 0.6293 0.5228 0.8800
185 0.6172 0.5312 0.8899
186 0.6046 0.5396 0.8994
187 0.5916 0.5479 0.9084
188 0.5781 0.5562 0.9171
189 0.5642 0.5644 0.9253
190 0.5497 0.5726 0.9331
191 0.5349 0.5808 0.9404
192 0.5195 0.5888 0.9473
193 0.5036 0.5969 0.9537
194 0.4872 0.6048 0.9596
195 0.4703 0.6127 0.9651
196 0.4529 0.6205 0.9701
197 0.4349 0.6282 0.9746
198 0.4163 0.6358 0.9786
199 0.3970 0.6434 0.9821
200 0.3770 0.6509 0.9852
201 0.3562 0.6583 0.9878
202 0.3345 0.6656 0.9898
203 0.3118 0.6728 0.9914
