# gbpCode colour map
#    type      = linear
#    hue       = 300 degrees
#    radius    = 000 degrees
#    chroma    = 050
#    luminance = 000 to 071
  0 0.0178 0.0000 0.2530
  1 0.0060 0.0000 0.2579
  2 0.0000 0.0000 0.2627
  3 0.0000 0.0000 0.2675
  4 0.0000 0.0000 0.2722
  5 0.0000 0.0000 0.2769
  6 0.0000 0.0000 0.2814
  7 0.0000 0.0000 0.2860
  8 0.0000 0.0000 0.2904
  9 0.0000 0.0020 0.2948
 10 0.0000 0.0093 0.2991
 11 0.0000 0.0166 0.3033
 12 0.0000 0.0239 0.3075
 13 0.0000 0.0312 0.3116
 14 0.0000 0.0386 0.3156
 15 0.0000 0.0456 0.3195
 16 0.0000 0.0520 0.3233
 17 0.0000 0.0580 0.3271
 18 0.0000 0.0635 0.3308
 19 0.0000 0.0687 0.3343
 20 0.0000 0.0736 0.3378
 21 0.0000 0.0783 0.3412
 22 0.0000 0.0827 0.3446
 23 0.0000 0.0869 0.3478
 24 0.0000 0.0910 0.3509
 25 0.0000 0.0949 0.3540
 26 0.0000 0.0987 0.3569
 27 0.0000 0.1023 0.3598
 28 0.0000 0.1059 0.3626
 29 0.0000 0.1093 0.3652
 30 0.0000 0.1127 0.3678
 31 0.0000 0.1160 0.3703
 32 0.0000 0.1194 0.3727
 33 0.0000 0.1227 0.3750
 34 0.0000 0.1260 0.3772
 35 0.0000 0.1293 0.3793
 36 0.0000 0.1325 0.3813
 37 0.0000 0.1358 0.3832
 38 0.0000 0.1390 0.3850
 39 0.0000 0.1422 0.3866
 40 0.0000 0.1454 0.3882
 41 0.0000 0.1486 0.3897
 42 0.0000 0.1518 0.3911
 43 0.0000 0.1549 0.3925
 44 0.0000 0.1581 0.3937
 45 0.0000 0.1612 0.3948
 46 0.0000 0.1643 0.3958
 47 0.0000 0.1675 0.3967
 48 0.0000 0.1706 0.3975
 49 0.0000 0.1737 0.3982
 50 0.0000 0.1767 0.3988
 51 0.0000 0.1798 0.3994
 52 0.0000 0.1829 0.3998
 53 0.0000 0.1860 0.4002
 54 0.0000 0.1890 0.4004
 55 0.0000 0.1921 0.4005
 56 0.0000 0.1951 0.4006
 57 0.0000 0.1981 0.4006
 58 0.0000 0.2012 0.4005
 59 0.0000 0.2042 0.4002
 60 0.0000 0.2072 0.3999
 61 0.0000 0.2102 0.3996
 62 0.0000 0.2132 0.3991
 63 0.0000 0.2162 0.3985
 64 0.0000 0.2192 0.3979
 65 0.0000 0.2222 0.3971
 66 0.0000 0.2252 0.3963
 67 0.0000 0.2281 0.3954
 68 0.0000 0.2311 0.3944
 69 0.0000 0.2341 0.3934
 70 0.0000 0.2370 0.3922
 71 0.0000 0.2400 0.3910
 72 0.0000 0.2429 0.3897
 73 0.0000 0.2459 0.3884
 74 0.0000 0.2488 0.3869
 75 0.0000 0.2518 0.3854
 76 0.0000 0.2547 0.3838
 77 0.0000 0.2576 0.3822
 78 0.0000 0.2606 0.3804
 79 0.0000 0.2635 0.3786
 80 0.0000 0.2664 0.3768
 81 0.0000 0.2693 0.3749
 82 0.0000 0.2722 0.3729
 83 0.0000 0.2751 0.3708
 84 0.0000 0.2780 0.3687
 85 0.0000 0.2809 0.3665
 86 0.0000 0.2838 0.3643
 87 0.0000 0.2866 0.3620
 88 0.0000 0.2895 0.3597
 89 0.0000 0.2924 0.3573
 90 0.0000 0.2952 0.3548
 91 0.0000 0.2981 0.3524
 92 0.0000 0.3010 0.3498
 93 0.0000 0.3038 0.3472
 94 0.0000 0.3066 0.3446
 95 0.0000 0.3095 0.3419
 96 0.0000 0.3123 0.3392
 97 0.0000 0.3151 0.3364
 98 0.0000 0.3179 0.3336
 99 0.0000 0.3207 0.3307
100 0.0000 0.3235 0.3278
101 0.0000 0.3263 0.3249
102 0.0000 0.3291 0.3220
103 0.0000 0.3319 0.3190
104 0.0000 0.3347 0.3160
105 0.0000 0.3374 0.3129
106 0.0000 0.3402 0.3098
107 0.0000 0.3429 0.3067
108 0.0000 0.3457 0.3036
109 0.0000 0.3484 0.3004
110 0.0000 0.3511 0.2972
111 0.0000 0.3538 0.2940
112 0.0000 0.3565 0.2908
113 0.0000 0.3592 0.2875
114 0.0000 0.3619 0.2843
115 0.0000 0.3645 0.2810
116 0.0000 0.3672 0.2777
117 0.0000 0.3698 0.2744
118 0.0000 0.3724 0.2710
119 0.0000 0.3751 0.2677
