# gbpCode colour map
#    type      = greyscale
#    hue       = 000 degrees
#    radius    = 000 degrees
#    chroma    = 000
#    luminance = 000 to 100
178 0.6614 0.6614 0.6614
179 0.6655 0.6655 0.6655
180 0.6696 0.6696 0.6696
181 0.6737 0.6737 0.6737
182 0.6778 0.6778 0.6778
183 0.6819 0.6819 0.6819
184 0.6860 0.6860 0.6860
185 0.6901 0.6901 0.6901
186 0.6942 0.6942 0.6942
187 0.6983 0.6983 0.6983
188 0.7025 0.7025 0.7025
189 0.7066 0.7066 0.7066
190 0.7107 0.7107 0.7107
191 0.7149 0.7149 0.7149
192 0.7190 0.7190 0.7190
193 0.7232 0.7232 0.7232
194 0.7273 0.7273 0.7273
195 0.7315 0.7315 0.7315
196 0.7356 0.7356 0.7356
197 0.7398 0.7398 0.7398
198 0.7440 0.7440 0.7440
199 0.7482 0.7482 0.7482
200 0.7524 0.7524 0.7524
201 0.7565 0.7565 0.7565
202 0.7607 0.7607 0.7607
203 0.7649 0.7649 0.7649
204 0.7691 0.7691 0.7691
205 0.7733 0.7733 0.7733
206 0.7775 0.7775 0.7775
207 0.7817 0.7817 0.7817
208 0.7860 0.7860 0.7860
209 0.7902 0.7902 0.7902
210 0.7944 0.7944 0.7944
211 0.7986 0.7986 0.7986
212 0.8029 0.8029 0.8029
213 0.8071 0.8071 0.8071
214 0.8113 0.8113 0.8113
215 0.8156 0.8156 0.8156
216 0.8198 0.8198 0.8198
217 0.8241 0.8241 0.8241
218 0.8283 0.8283 0.8283
219 0.8326 0.8326 0.8326
220 0.8369 0.8369 0.8369
221 0.8411 0.8411 0.8411
222 0.8454 0.8454 0.8454
223 0.8497 0.8497 0.8497
224 0.8540 0.8540 0.8540
225 0.8583 0.8583 0.8583
226 0.8626 0.8626 0.8626
227 0.8669 0.8669 0.8669
228 0.8711 0.8711 0.8711
229 0.8755 0.8755 0.8755
230 0.8798 0.8798 0.8798
231 0.8841 0.8841 0.8841
232 0.8884 0.8884 0.8884
233 0.8927 0.8927 0.8927
234 0.8970 0.8970 0.8970
235 0.9013 0.9013 0.9013
236 0.9057 0.9057 0.9057
237 0.9100 0.9100 0.9100
238 0.9144 0.9144 0.9144
239 0.9187 0.9187 0.9187
240 0.9230 0.9230 0.9230
241 0.9274 0.9274 0.9274
242 0.9317 0.9317 0.9317
243 0.9361 0.9361 0.9361
244 0.9405 0.9405 0.9405
245 0.9448 0.9448 0.9448
246 0.9492 0.9492 0.9492
247 0.9536 0.9536 0.9536
248 0.9579 0.9579 0.9579
249 0.9623 0.9623 0.9623
250 0.9667 0.9667 0.9667
251 0.9711 0.9711 0.9711
252 0.9755 0.9755 0.9755
253 0.9799 0.9799 0.9799
254 0.9843 0.9843 0.9843
255 1.0000 1.0000 1.0000
