# gbpCode colour map
#    type      = iso
#    hue       = 060 degrees
#    radius    = 000 degrees
#    chroma    = 050
#    luminance = 071 to 071
  0 0.9114 0.6121 0.3762
  1 0.9086 0.6137 0.3736
  2 0.9057 0.6153 0.3711
  3 0.9028 0.6169 0.3686
  4 0.8999 0.6185 0.3662
  5 0.8969 0.6201 0.3638
  6 0.8939 0.6217 0.3614
  7 0.8909 0.6233 0.3591
  8 0.8878 0.6249 0.3568
  9 0.8847 0.6265 0.3546
 10 0.8816 0.6281 0.3525
 11 0.8784 0.6297 0.3504
 12 0.8752 0.6313 0.3483
 13 0.8720 0.6329 0.3463
 14 0.8688 0.6345 0.3443
 15 0.8655 0.6361 0.3424
 16 0.8622 0.6377 0.3405
 17 0.8589 0.6393 0.3387
 18 0.8555 0.6409 0.3369
 19 0.8522 0.6425 0.3352
 20 0.8488 0.6441 0.3335
 21 0.8453 0.6457 0.3319
 22 0.8419 0.6472 0.3304
 23 0.8384 0.6488 0.3289
 24 0.8349 0.6504 0.3274
 25 0.8313 0.6519 0.3260
 26 0.8278 0.6535 0.3247
 27 0.8242 0.6551 0.3234
 28 0.8206 0.6566 0.3222
 29 0.8169 0.6581 0.3211
 30 0.8133 0.6597 0.3200
 31 0.8096 0.6612 0.3189
 32 0.8059 0.6627 0.3180
 33 0.8022 0.6642 0.3171
 34 0.7984 0.6658 0.3162
 35 0.7946 0.6673 0.3154
 36 0.7908 0.6688 0.3147
 37 0.7870 0.6703 0.3140
 38 0.7832 0.6717 0.3134
 39 0.7793 0.6732 0.3129
 40 0.7754 0.6747 0.3124
 41 0.7715 0.6761 0.3120
 42 0.7676 0.6776 0.3117
 43 0.7636 0.6790 0.3114
 44 0.7596 0.6805 0.3112
 45 0.7557 0.6819 0.3110
 46 0.7516 0.6833 0.3109
 47 0.7476 0.6847 0.3109
 48 0.7436 0.6861 0.3110
 49 0.7395 0.6875 0.3111
 50 0.7354 0.6889 0.3113
 51 0.7313 0.6903 0.3115
 52 0.7271 0.6917 0.3118
 53 0.7230 0.6930 0.3122
 54 0.7188 0.6944 0.3126
 55 0.7146 0.6957 0.3131
 56 0.7104 0.6970 0.3137
 57 0.7062 0.6983 0.3143
 58 0.7019 0.6996 0.3151
 59 0.6977 0.7009 0.3158
 60 0.6934 0.7022 0.3167
 61 0.6891 0.7035 0.3176
 62 0.6848 0.7048 0.3185
 63 0.6804 0.7060 0.3196
 64 0.6761 0.7073 0.3206
 65 0.6717 0.7085 0.3218
 66 0.6673 0.7097 0.3230
 67 0.6629 0.7110 0.3243
 68 0.6585 0.7122 0.3256
 69 0.6540 0.7134 0.3270
 70 0.6496 0.7145 0.3285
 71 0.6451 0.7157 0.3300
 72 0.6406 0.7169 0.3316
 73 0.6361 0.7180 0.3333
 74 0.6315 0.7192 0.3350
