# gbpCode colour map
#    type      = iso
#    hue       = 240 degrees
#    radius    = 000 degrees
#    chroma    = 050
#    luminance = 067 to 067
  0 0.0000 0.7006 0.9451
  1 0.0000 0.6993 0.9484
  2 0.0000 0.6979 0.9516
  3 0.0000 0.6966 0.9548
  4 0.0000 0.6952 0.9578
  5 0.0000 0.6937 0.9607
  6 0.0000 0.6923 0.9635
  7 0.0456 0.6908 0.9662
  8 0.0920 0.6893 0.9687
  9 0.1246 0.6878 0.9712
 10 0.1512 0.6862 0.9735
 11 0.1743 0.6846 0.9758
 12 0.1951 0.6830 0.9779
 13 0.2143 0.6813 0.9799
 14 0.2321 0.6796 0.9817
 15 0.2490 0.6779 0.9835
 16 0.2650 0.6762 0.9851
 17 0.2803 0.6745 0.9867
 18 0.2950 0.6727 0.9881
 19 0.3093 0.6708 0.9894
 20 0.3231 0.6690 0.9905
 21 0.3365 0.6671 0.9916
 22 0.3495 0.6652 0.9925
 23 0.3623 0.6633 0.9933
 24 0.3748 0.6614 0.9940
 25 0.3870 0.6594 0.9945
 26 0.3989 0.6574 0.9950
 27 0.4107 0.6554 0.9953
 28 0.4222 0.6533 0.9955
 29 0.4335 0.6513 0.9955
 30 0.4447 0.6492 0.9955
 31 0.4557 0.6470 0.9953
 32 0.4665 0.6449 0.9950
 33 0.4772 0.6427 0.9946
 34 0.4877 0.6405 0.9940
 35 0.4981 0.6383 0.9934
 36 0.5083 0.6361 0.9926
 37 0.5184 0.6339 0.9917
 38 0.5284 0.6316 0.9906
 39 0.5382 0.6293 0.9895
 40 0.5479 0.6270 0.9882
 41 0.5575 0.6247 0.9868
 42 0.5670 0.6223 0.9853
 43 0.5763 0.6200 0.9837
 44 0.5856 0.6176 0.9820
 45 0.5947 0.6152 0.9801
 46 0.6037 0.6128 0.9781
 47 0.6126 0.6104 0.9761
 48 0.6214 0.6079 0.9739
 49 0.6301 0.6055 0.9715
 50 0.6387 0.6030 0.9691
 51 0.6472 0.6006 0.9666
 52 0.6555 0.5981 0.9639
 53 0.6638 0.5956 0.9612
 54 0.6719 0.5931 0.9583
 55 0.6800 0.5906 0.9553
 56 0.6879 0.5881 0.9522
 57 0.6957 0.5857 0.9491
 58 0.7035 0.5832 0.9458
 59 0.7111 0.5806 0.9424
 60 0.7186 0.5781 0.9389
 61 0.7260 0.5757 0.9353
 62 0.7333 0.5732 0.9316
 63 0.7405 0.5707 0.9278
 64 0.7475 0.5682 0.9239
 65 0.7545 0.5657 0.9200
 66 0.7614 0.5632 0.9159
 67 0.7681 0.5608 0.9117
 68 0.7748 0.5583 0.9075
 69 0.7813 0.5559 0.9031
 70 0.7877 0.5535 0.8987
 71 0.7941 0.5511 0.8942
 72 0.8003 0.5487 0.8896
 73 0.8064 0.5463 0.8850
 74 0.8123 0.5440 0.8802
 75 0.8182 0.5417 0.8754
 76 0.8240 0.5394 0.8705
 77 0.8296 0.5371 0.8655
 78 0.8352 0.5348 0.8604
 79 0.8406 0.5326 0.8553
 80 0.8459 0.5304 0.8501
 81 0.8511 0.5283 0.8449
 82 0.8562 0.5262 0.8395
 83 0.8611 0.5241 0.8341
