# gbpCode colour map
#    type      = linear
#    hue       = 180 degrees
#    radius    = -01 degrees
#    chroma    = 050
#    luminance = 000 to 070
178 0.0000 0.5332 0.3513
179 0.0000 0.5352 0.3418
180 0.0000 0.5371 0.3323
181 0.0000 0.5390 0.3230
182 0.0000 0.5407 0.3138
183 0.0030 0.5424 0.3047
184 0.0764 0.5440 0.2957
185 0.1208 0.5455 0.2868
186 0.1547 0.5469 0.2782
187 0.1834 0.5482 0.2697
188 0.2089 0.5494 0.2613
189 0.2323 0.5505 0.2532
190 0.2542 0.5515 0.2454
191 0.2749 0.5524 0.2377
192 0.2947 0.5533 0.2304
193 0.3138 0.5540 0.2233
194 0.3323 0.5546 0.2165
195 0.3503 0.5551 0.2101
196 0.3678 0.5555 0.2040
197 0.3850 0.5558 0.1984
198 0.4019 0.5560 0.1931
199 0.4185 0.5561 0.1883
200 0.4349 0.5560 0.1840
201 0.4510 0.5559 0.1803
202 0.4670 0.5556 0.1770
203 0.4828 0.5553 0.1744
204 0.4984 0.5548 0.1724
205 0.5138 0.5542 0.1710
206 0.5291 0.5536 0.1703
207 0.5443 0.5528 0.1703
208 0.5592 0.5519 0.1709
209 0.5741 0.5509 0.1723
210 0.5888 0.5498 0.1743
211 0.6033 0.5486 0.1769
212 0.6178 0.5473 0.1803
213 0.6320 0.5459 0.1843
214 0.6461 0.5444 0.1889
215 0.6600 0.5429 0.1941
216 0.6738 0.5413 0.1998
217 0.6874 0.5396 0.2061
218 0.7008 0.5378 0.2129
219 0.7141 0.5360 0.2202
220 0.7271 0.5341 0.2280
221 0.7399 0.5322 0.2362
222 0.7526 0.5302 0.2448
223 0.7650 0.5282 0.2539
224 0.7771 0.5262 0.2633
225 0.7891 0.5242 0.2731
226 0.8008 0.5222 0.2832
227 0.8122 0.5201 0.2937
228 0.8234 0.5181 0.3045
229 0.8343 0.5162 0.3156
230 0.8450 0.5143 0.3270
231 0.8553 0.5124 0.3387
232 0.8653 0.5106 0.3507
233 0.8751 0.5089 0.3629
234 0.8845 0.5073 0.3755
235 0.8935 0.5059 0.3883
236 0.9023 0.5045 0.4013
237 0.9107 0.5033 0.4146
238 0.9187 0.5022 0.4281
239 0.9263 0.5013 0.4418
240 0.9336 0.5006 0.4557
241 0.9405 0.5001 0.4699
242 0.9470 0.4998 0.4842
243 0.9531 0.4997 0.4987
244 0.9588 0.4999 0.5134
245 0.9641 0.5003 0.5283
246 0.9690 0.5009 0.5433
247 0.9734 0.5019 0.5584
248 0.9774 0.5031 0.5737
249 0.9809 0.5045 0.5891
250 0.9840 0.5063 0.6046
251 0.9866 0.5084 0.6201
252 0.9888 0.5107 0.6358
253 0.9905 0.5134 0.6515
254 0.9917 0.5163 0.6673
255 0.9924 0.5196 0.6830
