# gbpCode colour map
#    type      = linear
#    hue       = 030 degrees
#    radius    = -01 degrees
#    chroma    = 050
#    luminance = 000 to 071
178 0.2165 0.5257 0.2260
179 0.2324 0.5274 0.2217
180 0.2476 0.5290 0.2174
181 0.2623 0.5306 0.2133
182 0.2765 0.5321 0.2093
183 0.2904 0.5336 0.2054
184 0.3039 0.5350 0.2017
185 0.3172 0.5364 0.1981
186 0.3302 0.5377 0.1946
187 0.3430 0.5390 0.1914
188 0.3556 0.5402 0.1883
189 0.3680 0.5414 0.1854
190 0.3803 0.5426 0.1827
191 0.3924 0.5437 0.1801
192 0.4045 0.5447 0.1779
193 0.4164 0.5457 0.1758
194 0.4282 0.5466 0.1740
195 0.4399 0.5475 0.1724
196 0.4516 0.5484 0.1711
197 0.4631 0.5491 0.1700
198 0.4746 0.5499 0.1692
199 0.4860 0.5506 0.1687
200 0.4974 0.5512 0.1685
201 0.5087 0.5518 0.1686
202 0.5199 0.5524 0.1690
203 0.5311 0.5529 0.1697
204 0.5422 0.5533 0.1707
205 0.5532 0.5537 0.1719
206 0.5642 0.5541 0.1735
207 0.5751 0.5544 0.1754
208 0.5860 0.5546 0.1776
209 0.5968 0.5549 0.1801
210 0.6076 0.5550 0.1829
211 0.6183 0.5552 0.1859
212 0.6289 0.5553 0.1893
213 0.6395 0.5553 0.1929
214 0.6500 0.5553 0.1968
215 0.6605 0.5553 0.2009
216 0.6709 0.5552 0.2053
217 0.6812 0.5551 0.2099
218 0.6914 0.5550 0.2148
219 0.7016 0.5549 0.2199
220 0.7117 0.5547 0.2252
221 0.7218 0.5545 0.2308
222 0.7317 0.5542 0.2365
223 0.7416 0.5540 0.2425
224 0.7514 0.5537 0.2486
225 0.7611 0.5534 0.2550
226 0.7707 0.5531 0.2615
227 0.7803 0.5527 0.2682
228 0.7897 0.5524 0.2751
229 0.7990 0.5521 0.2822
230 0.8083 0.5517 0.2895
231 0.8174 0.5514 0.2969
232 0.8265 0.5510 0.3044
233 0.8354 0.5507 0.3122
234 0.8442 0.5504 0.3200
235 0.8529 0.5500 0.3281
236 0.8615 0.5497 0.3363
237 0.8700 0.5495 0.3446
238 0.8783 0.5492 0.3531
239 0.8865 0.5490 0.3617
240 0.8946 0.5488 0.3705
241 0.9026 0.5486 0.3794
242 0.9104 0.5485 0.3884
243 0.9181 0.5484 0.3975
244 0.9256 0.5484 0.4068
245 0.9330 0.5484 0.4162
246 0.9402 0.5485 0.4258
247 0.9473 0.5486 0.4354
248 0.9543 0.5488 0.4452
249 0.9611 0.5490 0.4551
250 0.9677 0.5494 0.4651
251 0.9741 0.5498 0.4752
252 0.9804 0.5503 0.4854
253 0.9866 0.5508 0.4957
254 0.9925 0.5515 0.5062
255 0.9983 0.5523 0.5167
